174, 25,0
174, 25,0,1
174, 25,0,1
174, 25,0,1
174, 26,0,1
173, 25,0,1
173, 25,0,1
173, 26,0,1
169, 25,0,1
137, 25,0,imc
135, 25,0,egraph
132, 25,0,1
132, 25,0,1
132, 26,0,1
131, 25,0,1
131, 26,0,1
130, 25,0,1
